topic: BenchmarkTest, threadCount: 8, messageSize: 1024, keyEnable: false, propertySize: 0, tagCount: 0, traceEnable: false, aclEnable: false, messageQuantity: 0, delayEnable: false, delayLevel: 1, asyncEnable: false
 compressEnable: false, reportInterval: 10000
Current Time: 2026-08-24 05:14:11,616 | Send TPS: 6144 | Max RT(ms): 710 | Average RT(ms):   1.301 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:14:21,615 | Send TPS: 6158 | Max RT(ms): 710 | Average RT(ms):   1.298 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:14:31,616 | Send TPS: 6084 | Max RT(ms): 710 | Average RT(ms):   1.313 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:14:41,616 | Send TPS: 6120 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:14:51,616 | Send TPS: 6131 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:15:01,616 | Send TPS: 6118 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:15:11,616 | Send TPS: 6004 | Max RT(ms): 710 | Average RT(ms):   1.331 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:15:21,615 | Send TPS: 6133 | Max RT(ms): 710 | Average RT(ms):   1.303 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:15:31,615 | Send TPS: 6099 | Max RT(ms): 710 | Average RT(ms):   1.310 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:15:41,615 | Send TPS: 6127 | Max RT(ms): 710 | Average RT(ms):   1.304 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:15:51,615 | Send TPS: 6122 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:16:01,615 | Send TPS: 6124 | Max RT(ms): 710 | Average RT(ms):   1.305 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:16:11,615 | Send TPS: 6089 | Max RT(ms): 710 | Average RT(ms):   1.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:16:21,615 | Send TPS: 6048 | Max RT(ms): 710 | Average RT(ms):   1.321 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:16:31,616 | Send TPS: 6093 | Max RT(ms): 710 | Average RT(ms):   1.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:16:41,616 | Send TPS: 6116 | Max RT(ms): 710 | Average RT(ms):   1.307 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:16:51,616 | Send TPS: 6122 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:17:01,615 | Send TPS: 6090 | Max RT(ms): 710 | Average RT(ms):   1.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:17:11,616 | Send TPS: 6074 | Max RT(ms): 710 | Average RT(ms):   1.316 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:17:21,616 | Send TPS: 6097 | Max RT(ms): 710 | Average RT(ms):   1.311 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:17:31,615 | Send TPS: 6060 | Max RT(ms): 710 | Average RT(ms):   1.319 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:17:41,615 | Send TPS: 6090 | Max RT(ms): 710 | Average RT(ms):   1.312 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:17:51,616 | Send TPS: 6137 | Max RT(ms): 710 | Average RT(ms):   1.302 | Send Failed: 0 | Response Failed: 0
Current Time: 2026-08-24 05:18:01,616 | Send TPS: 6120 | Max RT(ms): 710 | Average RT(ms):   1.306 | Send Failed: 0 | Response Failed: 0
