RESULT W fillrandom   :     150.760 micros/op 53059 ops/sec 3015.456 seconds 160000000 operations;    5.9 MB/s
RESULT W fillrandom   :     165.524 micros/op 48314 ops/sec 3311.608 seconds 160000000 operations;    5.3 MB/s
RESULT fullF-fill-t8 fillrandom   :     160.783 micros/op 49656 ops/sec 3222.114 seconds 160000000 operations;    5.5 MB/s
RESULT nopause-fill-t8 fillrandom   :     161.623 micros/op 49486 ops/sec 3233.228 seconds 160000000 operations;    5.5 MB/s
RESULT nopause-fill-t8 fillrandom   :     162.437 micros/op 49240 ops/sec 3249.369 seconds 160000000 operations;    5.4 MB/s
RESULT fullF-fill-t8 fillrandom   :     162.886 micros/op 49104 ops/sec 3258.378 seconds 160000000 operations;    5.4 MB/s
RESULT fullF-fill-t8 fillrandom   :     168.742 micros/op 47400 ops/sec 3375.459 seconds 160000000 operations;    5.2 MB/s
RESULT nopause-fill-t8 fillrandom   :     160.073 micros/op 49966 ops/sec 3202.133 seconds 160000000 operations;    5.5 MB/s
RESULT nopause-fill-t8 fillrandom   :     162.202 micros/op 49316 ops/sec 3244.332 seconds 160000000 operations;    5.5 MB/s
RESULT fullF-fill-t8 fillrandom   :     159.897 micros/op 50020 ops/sec 3198.718 seconds 160000000 operations;    5.5 MB/s
RESULT fullF-fill-t8 fillrandom   :     167.393 micros/op 47730 ops/sec 3352.178 seconds 160000000 operations;    5.3 MB/s
RESULT nopause-fill-t8 fillrandom   :     165.052 micros/op 48309 ops/sec 3311.962 seconds 160000000 operations;    5.3 MB/s
RESULT nopause-fill-t8 fillrandom   :     166.109 micros/op 48150 ops/sec 3322.881 seconds 160000000 operations;    5.3 MB/s
RESULT fullF-fill-t8 fillrandom   :     156.450 micros/op 51124 ops/sec 3129.591 seconds 160000000 operations;    5.7 MB/s
